201,65,4000
201,76,4000
201,95,4000
201,110,4000
201,114,4000
201,121,4000
201,125,4000
201,126,4000
201,144,4000
201,145,4000
201,146,4000
201,150,4000
201,151,4000
202,143,3000
203,65,3000
204,97,3000
205,103,3000
206,105,100
207,123,100
208,112,100
209,113,100
210,68,100
211,73,100
212,78,100
213,71,100
214,91,100
215,99,100
216,127,100
217,80,100
218,87,100
219,85,100
220,47,100
221,62,100
222,134,100
223,122,100
224,106,100
225,57,100
226,31,100
227,38,100
228,51,100
229,34,100
230,42,100
231,101,100
232,45,100
233,108,100
234,119,100
235,131,100
236,82,100
237,82,100
238,82,100
239,82,100
240,83,100
241,93,100
242,36,100
243,22,100
244,26,100
245,38,100
246,40,100
247,53,100
248,12,100
249,15,100
250,18,100
251,18,100
252,18,100
253,18,100
254,20,100
255,117,100
256,125,100
257,128,100
258,55,100
259,136,100
260,139,100
261,141,100
262,107,100
263,149,100
264,137,100
265,128,100
266,124,100
267,125,100
268,24,100
269,28,100
270,94,100
271,59,100
272,73,100
273,49,100
274,76,100
275,55,100
276,15,100
277,62,100
278,68,100
279,87,100
280,135,100
281,125,100
282,147,100
283,147,100
